dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,13,0.062133500003255904,0.8284466667100787,0.8933333333333333,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8333333333333333,0.9801488833746897,0.9801488833746897,0.9265909529067422,0.08305948748190461,0.20672580813866973,0.10666666666666667,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09727253907462996,2.4999608285725117e-06,8.0,,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,instruction,13,0.06624750001356006,0.8833000001808008,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9813895781637717,0.9813895781637717,0.9383265856950065,0.08071125672461484,0.20073411083840814,0.06666666666666667,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.1,0.1,1.0,1.0,0.0,0.0,0.08633541806097252,2.4999608285725117e-06,8.0,,,,,,,,,,,1.1111111111111112,-0.08148148148148149
BGL,Full Context,0.2,0.1,instruction,13,0.11445970000931993,1.5261293334575992,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9764267990074442,0.9764267990074442,0.9188793662477872,0.08565405936655064,0.20983642452013174,0.06666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.0796917880515094,2.4999608285725117e-06,8.0,,,,,,,,,,,1.1111111111111112,-0.08148148148148149
BGL,Full Context,0.3,0.1,instruction,13,0.09682799997972324,1.2910399997296433,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.9813895781637717,0.9813895781637717,0.9316251621681484,0.0805602587068972,0.20346533537772074,0.08,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07910767728652389,2.4999608285725117e-06,8.0,,,,,,,,,,,1.0714285714285714,-0.05238095238095242
BGL,Full Context,0.4,0.1,instruction,13,0.19980860000941902,2.6641146667922535,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9751861042183623,0.9751861042183623,0.9041607964684886,0.08791339914184702,0.18115754649031765,0.09333333333333334,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07295721728352023,2.4999608285725117e-06,8.0,,,,,,,,,,,1.0344827586206897,-0.025287356321839094
BGL,Full Context,0.5,0.1,instruction,13,0.13221220002742484,1.762829333698998,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9776674937965261,0.9776674937965261,0.9357859531772574,0.09024406082108491,0.2202067566558393,0.06666666666666667,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0663360089733254,2.4999608285725117e-06,8.0,,,,,,,,,,,1.1111111111111112,-0.08148148148148149
BGL,Random-k Selection,0.0,0.1,instruction,13,0.03271830000448972,0.4362440000598629,0.8933333333333333,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8243559718969555,0.9230769230769231,0.9230769230769231,0.8333042542253069,0.10289130986462372,0.20239415749013967,0.10666666666666667,3.0,225.0,0.0,0.0,0.38666666666666666,29.0,173.04,12978.0,19.453333333333333,1459.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.1288888888888889,0.38666666666666666,0.0,0.6666666666666667,0.6641652002898251,0.11242102018801048,2.8999638743698597e-06,3.0,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,instruction,13,0.047659700037911534,0.6354626671721538,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.9553349875930521,0.9553349875930521,0.8570598205213589,0.10116344881936035,0.20115834321759476,0.08,3.0,225.0,0.3333333333333333,25.0,0.4,30.0,176.94666666666666,13271.0,20.053333333333335,1504.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.1111111111111111,0.13333333333333333,0.4,0.3333333333333333,0.7,0.6937296623664351,0.11332981689397935,2.8999638743698597e-06,3.0,,,,,,,,,,,1.0769230769230769,-0.05494505494505497
BGL,Random-k Selection,0.2,0.1,instruction,13,0.04171549994498491,0.5562066659331322,0.8933333333333333,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8243559718969555,0.9181141439205955,0.9181141439205955,0.7807577001542518,0.10744739130153308,0.18487563668188112,0.10666666666666667,3.0,225.0,0.48,36.0,0.28,21.0,176.29333333333332,13222.0,14.52,1089.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.16,0.09333333333333334,0.28,0.24,0.7272727272727273,0.7208781929491239,0.08236272878535773,2.8999638743698597e-06,3.0,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.3,0.1,instruction,13,0.040455999958794564,0.5394133327839276,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9205955334987593,0.9205955334987593,0.7810368058777541,0.10183686567466525,0.2020288208059583,0.09333333333333334,3.0,225.0,0.48,36.0,0.4,30.0,171.04,12828.0,19.6,1470.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.16,0.13333333333333333,0.4,0.24,0.7272727272727273,0.727718464118184,0.1145930776426567,2.8999638743698597e-06,3.0,,,,,,,,,,,1.0620689655172413,-0.044334975369458074
