dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
UNSW_NB15,Full Context,0.0,0.1,instruction,2,random_forest,0.14420420001260936,1.9227226668347914,0.9066666666666666,0.8771929824561403,1.0,0.9345794392523364,0.8858943707889589,0.9768,0.9768,0.9874134543027808,0.10642816095020081,0.1647447908752227,0.09333333333333334,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.07203352213206442,1.800013706088066e-06,8.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Full Context,0.1,0.1,instruction,2,random_forest,0.15639630000805482,2.085284000107398,0.9066666666666666,0.8771929824561403,1.0,0.9345794392523364,0.8858943707889589,0.96,0.96,0.9738108235485258,0.1135708834503352,0.1699713280679871,0.09333333333333334,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.1,0.1,1.0,1.0,0.0,0.0,0.06347360708483324,1.800013706088066e-06,8.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Full Context,0.2,0.1,instruction,2,random_forest,0.1651248999987729,2.201665333316972,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9672000000000001,0.9672000000000001,0.9799144245811607,0.10505058924661967,0.18913570740587798,0.06666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.05743677049818932,1.800013706088066e-06,8.0,,,,,,,,,,1.019047619047619,-0.017801513128615887
UNSW_NB15,Full Context,0.3,0.1,instruction,2,random_forest,0.16411529999459162,2.188203999927888,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9624,0.9624,0.9726412745266106,0.10569802251658497,0.1895484939523635,0.06666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.05738568315945919,1.800013706088066e-06,8.0,,,,,,,,,,1.019047619047619,-0.017801513128615887
UNSW_NB15,Full Context,0.4,0.1,instruction,2,random_forest,0.17936079995706677,2.3914773327608905,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9206349206349206,0.9616,0.9616,0.9738840973198915,0.10763323163623677,0.20943017318163185,0.06666666666666667,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.05317186305774451,1.800013706088066e-06,8.0,,,,,,,,,,1.019047619047619,-0.017801513128615887
UNSW_NB15,Full Context,0.5,0.1,instruction,2,random_forest,0.18034099997021258,2.404546666269501,0.9466666666666667,0.9259259259259259,1.0,0.9615384615384616,0.9372909698996655,0.9712,0.9712,0.9831892370194142,0.11361167489538684,0.24024178707643026,0.05333333333333334,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.04827921092564492,1.800013706088066e-06,8.0,,,,,,,,,,1.028846153846154,-0.026959022286125123
UNSW_NB15,Random-k Selection,0.0,0.1,instruction,2,random_forest,0.11335610004607588,1.5114146672810118,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.9663999999999999,0.9663999999999999,0.981370822202416,0.16833942057535403,0.18860076556669356,0.3333333333333333,3.0,225.0,0.0,0.0,0.37333333333333335,28.0,248.62666666666667,18647.0,19.813333333333333,1486.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.12444444444444444,0.37333333333333335,0.0,0.6666666666666667,0.6689156797642087,0.07969110312650829,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Random-k Selection,0.1,0.1,instruction,2,random_forest,0.11835380003321916,1.5780506671095889,0.68,0.6756756756756757,1.0,0.8064516129032258,0.4416873449131513,0.912,0.912,0.9371249273374845,0.1722241028462589,0.16085340082871463,0.32,3.0,225.0,0.3333333333333333,25.0,0.29333333333333333,22.0,251.77333333333334,18883.0,16.026666666666667,1202.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.1111111111111111,0.09777777777777778,0.29333333333333333,0.3333333333333333,0.7,0.6992290783982671,0.06365513954350474,6.00004568696022e-07,3.0,,,,,,,,,,1.008064516129032,-0.006451612903225712
UNSW_NB15,Random-k Selection,0.2,0.1,instruction,2,random_forest,0.11966169998049736,1.5954893330732982,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.9128000000000001,0.9128000000000001,0.9506859244990473,0.17583501025340353,0.16533206079180687,0.3333333333333333,3.0,225.0,0.49333333333333335,37.0,0.4266666666666667,32.0,246.92,18519.0,22.72,1704.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.16444444444444445,0.14222222222222222,0.4266666666666667,0.24666666666666667,0.7272727272727273,0.7328129734097041,0.0920136076462012,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Random-k Selection,0.3,0.1,instruction,2,random_forest,0.14567310002166778,1.9423080002889037,0.68,0.6756756756756757,1.0,0.8064516129032258,0.4416873449131513,0.9128000000000001,0.9128000000000001,0.9439100405935914,0.17161934586097824,0.18989640180350115,0.32,3.0,225.0,0.6266666666666667,47.0,0.36,27.0,249.34666666666666,18701.0,19.4,1455.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.2088888888888889,0.12,0.36,0.31333333333333335,0.7272727272727273,0.7301559817035337,0.07780332602534624,6.00004568696022e-07,3.0,,,,,,,,,,1.008064516129032,-0.006451612903225712
