method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Mutual Information Feature Selection,0.5727272727272728,0.7401960784313726,0.7401960784313726,0.45314407814407814,0.6052738927738928,0.5454545454545454,0.5454545454545454,0.6,0.717948717948718,0.721892042818522,3.0,117.47826086956522,0.0,0.0,0.3913043478260869,0.2895762561843477,0.24552845403310314,0.8071804338175317,0.03713029995560646,1.1,1.0,2.0
TeleMin-RAG,0.5727272727272728,0.6764705882352942,0.6764705882352942,0.39743589743589747,0.6052738927738928,0.5454545454545454,0.5454545454545454,0.6,0.8286882199925678,0.8357970558002417,1.7826086956521738,68.65217391304347,0.0,0.0,0.3913043478260869,0.2943726528891809,0.24094010624051332,6.528845651621889,0.30032689997460693,1.1,1.0,2.0
Embedding Similarity Selection,0.5718954248366013,0.7156862745098038,0.7156862745098038,0.5612103174603175,0.6541743134035223,0.5555555555555556,0.5555555555555556,0.5882352941176471,0.717948717948718,0.6688072533701078,3.0,141.39130434782606,0.3333333333333333,1.0,0.32608695652173914,0.2526402758915737,0.2077630412205851,5.31365651809408,0.24442819983232766,1.0588235294117647,3.0,4.0
Full Context,0.5718954248366013,0.8088235294117647,0.8088235294117647,0.7175565175565175,0.6541743134035223,0.5555555555555556,0.5555555555555556,0.5882352941176471,0.0,0.0,11.0,436.82608695652175,0.09401709401709402,1.0,0.32608695652173914,0.2337897956775355,0.200174166427325,0.7912130424064463,0.03639579995069653,1.0588235294117647,3.0,4.0
Random-k Selection,0.5718954248366013,0.7941176470588236,0.7941176470588236,0.6078879453879453,0.6541743134035223,0.5555555555555556,0.5555555555555556,0.5882352941176471,0.717948717948718,0.7170325283983232,3.0,120.08695652173913,0.08695652173913043,0.2608695652173913,0.32608695652173914,0.2503755553967697,0.21067464568452812,0.3538347841442927,0.016276400070637465,1.0588235294117647,3.0,4.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.3771929824561403,0.5955882352941176,0.5955882352941176,0.3805171277997365,0.5279211099644536,0.3333333333333333,0.42105263157894735,0.3333333333333333,0.717948717948718,0.7160545122771549,3.0,120.69565217391303,0.0,0.0,0.41304347826086957,0.3586956521739131,0.3655260869565217,1299.1449478254451,59.760667599970475,0.7916666666666666,6.0,8.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.36904761904761907,0.19852941176470584,0.8014705882352942,0.20745081577461438,0.30452380952380953,0.35714285714285715,0.38095238095238093,0.35714285714285715,0.0,0.0,11.0,436.82608695652175,0.09401709401709402,1.0,0.6739130434782609,0.6182608695652175,0.6014478260869563,1110.5931673917676,51.08728570002131,0.9375000000000001,7.0,7.0
TF-IDF/BM25 Selection,0.369047619047619,0.5416666666666667,0.6348039215686274,0.34756472383003545,0.5641193977591037,0.16666666666666666,0.5714285714285714,0.16666666666666666,0.717948717948718,0.7160545122771549,3.0,120.69565217391303,0.0,0.0,0.34782608695652173,0.18487873857825304,0.22523061488466023,0.8646413030953186,0.03977349994238466,0.2916666666666667,8.0,9.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.29022988505747127,0.17892156862745098,0.821078431372549,0.189292142724637,0.16784221525600834,0.16666666666666666,0.16666666666666666,0.41379310344827586,0.0,0.0,11.0,436.82608695652175,0.09401709401709402,1.0,0.8043478260869565,0.7476086956521738,0.7232760869565217,733.4066434768433,33.736705599934794,2.4827586206896552,9.0,1.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.0,0.3357843137254902,0.6642156862745099,0.24953200483091786,0.35198412698412695,0.0,0.0,0.0,0.8286882199925678,0.8357970558002417,1.7826086956521738,68.65217391304347,0.0,0.0,0.4565217391304348,0.39,0.3893,692.9818717408521,31.877166100079194,,10.0,
