dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
Apache,Full Context,0.0,0.1,instruction,2,logistic,0.015498700086027384,0.6738565254794515,0.5652173913043478,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4362745098039216,0.5294117647058824,0.5294117647058824,0.2895743145743146,0.24074547959682344,0.21594681912424094,0.43478260869565216,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.11937397708674305,2.600019797682762e-06,8.0,,,,,,,,,,,,,,1.0,0.0
Apache,Full Context,0.5,0.1,instruction,2,logistic,0.02063590008765459,0.89721304728933,0.6086956521739131,0.0,0.0,0.0,0.3783783783783784,0.4803921568627451,0.5196078431372548,0.26871467885399775,0.2369853700959305,0.20254299564035655,0.391304347826087,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.08249087335018253,2.600019797682762e-06,8.0,,,,,,,,,,,,,,0.0,0.16666666666666666
Apache,Random-k Selection,0.0,0.1,instruction,2,logistic,0.007841499987989664,0.3409347820865071,0.4782608695652174,0.0,0.0,0.0,0.3235294117647059,0.22058823529411764,0.7794117647058824,0.19855106754420257,0.27333061234221706,0.26905352365263385,0.5217391304347826,3.0,69.0,0.0,0.0,0.43478260869565216,10.0,143.1304347826087,3292.0,21.565217391304348,496.0,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,0.0,0.14492753623188406,0.43478260869565216,0.0,0.6666666666666667,0.6632569558101473,0.15066828675577157,7.00005330145359e-07,3.0,,,,,,,,,,,,,,,
Apache,Random-k Selection,0.5,0.1,instruction,2,logistic,0.009124399977736175,0.39671304251026845,0.6956521739130435,0.0,0.0,0.0,0.41025641025641024,0.3970588235294118,0.6029411764705882,0.23507489952502741,0.2297958895556904,0.15713440901522036,0.30434782608695654,3.0,69.0,1.0434782608695652,24.0,0.30434782608695654,7.0,143.1304347826087,3292.0,15.173913043478262,349.0,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,0.34782608695652173,0.10144927536231885,0.30434782608695654,0.2608695652173913,0.7692307692307692,0.7688851446222971,0.1060145808019441,7.00005330145359e-07,3.0,,,,,,,,,,,,,,,
Apache,TF-IDF/BM25 Selection,0.0,0.1,instruction,2,logistic,0.01419540005736053,0.6171913068417622,0.5652173913043478,0.3,0.5,0.375,0.5208333333333333,0.6029411764705882,0.6029411764705882,0.3535818348318348,0.2389183193369144,0.20966622302125243,0.43478260869565216,3.0,69.0,0.0,0.0,0.0,0.0,134.30434782608697,3089.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6840220949263502,0.0,0.010136500000953674,3.0,,,,,,,,,,,,,,1.0,0.0
Apache,TF-IDF/BM25 Selection,0.5,0.1,instruction,2,logistic,0.017194600077345967,0.7475913077106943,0.5652173913043478,0.3,0.5,0.375,0.5208333333333333,0.6470588235294117,0.6470588235294117,0.37122432306255837,0.23455152481479966,0.20406348108951866,0.43478260869565216,3.0,69.0,0.391304347826087,9.0,0.0,0.0,134.3913043478261,3091.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,0.13043478260869565,0.0,0.0,0.09782608695652174,0.7692307692307692,0.782996349340073,0.0,0.010136500000953674,3.0,,,,,,,,,,,,,,1.0,0.0
Apache,Mutual Information Feature Selection,0.0,0.1,instruction,2,logistic,0.017786799930036068,0.7733391273928725,0.6086956521739131,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.5174825174825175,0.6029411764705882,0.6029411764705882,0.33333333333333337,0.2225396406214389,0.16817312116287841,0.391304347826087,3.0,69.0,0.0,0.0,0.0,0.0,130.04347826086956,2991.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6940466448445172,0.0,0.910949399927631,3.0,,,,,,,,,,,,,,1.0,0.0
Apache,Mutual Information Feature Selection,0.5,0.1,instruction,2,logistic,0.023722599959000945,1.0314173895217802,0.6086956521739131,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.5174825174825175,0.573529411764706,0.573529411764706,0.3232323232323232,0.22416027361151372,0.1713824529184888,0.391304347826087,3.0,69.0,1.0,23.0,0.0,0.0,130.43478260869566,3000.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,0.3333333333333333,0.0,0.0,0.25,0.7692307692307692,0.7893850042123,0.0,0.910949399927631,3.0,,,,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.0,0.1,instruction,2,logistic,0.11883289995603263,5.166647824175332,0.5652173913043478,0.35714285714285715,0.8333333333333334,0.5,0.5576923076923077,0.5686274509803921,0.5686274509803921,0.30952380952380953,0.26445817160002966,0.29179666676460964,0.43478260869565216,3.0,69.0,0.0,0.0,1.0,23.0,134.65217391304347,3097.0,50.73913043478261,1167.0,9.0,207.0,0.0,0.0,1.0,23.0,425.04347826086956,9776.0,50.73913043478261,1167.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6832037643207856,0.3768162738133678,0.09315099997911602,3.0,,,,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.5,0.1,instruction,2,logistic,0.12842269998509437,5.583595651525842,0.5652173913043478,0.35714285714285715,0.8333333333333334,0.5,0.5576923076923077,0.5343137254901961,0.5343137254901961,0.29285714285714287,0.26467595792186066,0.29198707496042486,0.43478260869565216,3.0,69.0,0.043478260869565216,1.0,1.0,23.0,135.0,3105.0,51.08695652173913,1175.0,13.0,299.0,4.0,92.0,1.0,23.0,619.304347826087,14244.0,51.08695652173913,1175.0,0.014492753623188406,0.3333333333333333,1.0,0.010869565217391304,0.7692307692307692,0.7820134793597304,0.3784219001610306,0.09315099997911602,3.0,,,,,,,,,,,,,,1.0,0.0
