method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.5,0.5514705882352942,0.5514705882352942,0.30119047619047623,0.5576923076923077,0.5,0.5,0.5,0.717948717948718,0.732608621840258,3.0,134.82608695652175,0.3333333333333333,1.0,0.43478260869565216,0.2918918708625172,0.26456706476094516,5.375121737850587,0.247255599941127,1.0,1.0,2.0
TF-IDF/BM25 Selection,0.375,0.625,0.625,0.3624030789471966,0.5208333333333333,0.375,0.375,0.375,0.717948717948718,0.7335092221332116,3.0,134.34782608695653,0.0,0.0,0.43478260869565216,0.20686485205538555,0.23673492207585703,0.6823913072762282,0.0313900001347065,1.0,2.0,2.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.3708791208791209,0.37745098039215685,0.6225490196078431,0.2505688655145177,0.23543956043956044,0.35714285714285715,0.35714285714285715,0.38461538461538464,0.0,0.0,11.0,522.1739130434783,0.09401709401709402,1.0,0.7391304347826086,0.653913043478261,0.6211695652173913,953.0484456513279,43.840228499961086,1.0769230769230769,3.0,1.0
Mutual Information Feature Selection,0.3076923076923077,0.5882352941176471,0.5882352941176471,0.3282828282828283,0.5174825174825175,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.717948717948718,0.7417158245284086,3.0,130.23913043478262,0.0,0.0,0.391304347826087,0.1697777870406836,0.22334995711647632,0.9023782584573263,0.04150939988903701,1.0,4.0,2.0
TeleMin-RAG,0.18181818181818182,0.5024509803921569,0.5318627450980392,0.29244378306878305,0.4714646464646465,0.0,0.36363636363636365,0.0,0.4358974358974359,0.45304130122149805,6.0,275.5434782608696,0.0,0.0,0.3695652173913043,0.1832546591497234,0.23335948632047382,11.7353695626978,0.5398269998840988,0.0,5.0,5.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.15384615384615385,0.40931372549019596,0.6348039215686274,0.2425869722065374,0.3621895346033277,0.0,0.0,0.3076923076923077,0.0,0.0,11.0,522.1739130434783,0.09401709401709402,1.0,0.5652173913043478,0.5147826086956522,0.49413043478260865,1932.7440543489975,88.90622650005389,,6.0,
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.15384615384615385,0.42156862745098034,0.5784313725490196,0.25835058661145616,0.43929681429681433,0.0,0.0,0.3076923076923077,0.4358974358974359,0.45304130122149805,6.0,275.5434782608696,0.0,0.0,0.41304347826086957,0.3947826086956522,0.38420869565217386,2123.3934999985177,97.6761009999318,,6.0,
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.1,0.48039215686274506,0.5392156862745098,0.33405797101449275,0.44181286549707605,0.0,0.0,0.2,0.717948717948718,0.7335092221332116,3.0,134.34782608695653,0.0,0.0,0.34782608695652173,0.3252173913043478,0.32379565217391304,1943.6161391280148,89.40634239988867,,8.0,
Full Context,0.08333333333333333,0.5049019607843137,0.5245098039215685,0.2791444967141562,0.40732644409115,0.0,0.16666666666666666,0.0,0.0,0.0,11.0,522.1739130434783,0.09401709401709402,1.0,0.41304347826086957,0.20924490738229873,0.23886542484637696,0.7855347863843908,0.036134600173681974,0.0,9.0,5.0
Random-k Selection,0.0,0.3088235294117647,0.6911764705882353,0.21681298353461498,0.3668929110105581,0.0,0.0,0.0,0.717948717948718,0.7160710502162222,3.0,143.1304347826087,0.12318840579710146,0.3695652173913043,0.41304347826086957,0.2130939663339271,0.2515632509489537,0.3688239122983878,0.01696589996572584,,10.0,
