method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Mutual Information Feature Selection,0.5555555555555556,0.6277777777777778,0.6388888888888888,0.6164118918838599,0.7237237237237237,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.717948717948718,0.7228391707236306,3.0,170.5,0.014492753623188406,0.043478260869565216,0.17391304347826086,0.18220768189064623,0.15181909651997993,2.6133304320113817,0.12021319987252355,0.6666666666666666,1.0,10.0
Embedding Similarity Selection,0.5,0.8111111111111111,0.8111111111111111,0.6706280193236716,0.6973684210526316,0.5,0.5,0.5,0.717948717948718,0.7138578440785286,3.0,178.2826086956522,0.3333333333333333,1.0,0.17391304347826086,0.21302255843029344,0.14907416382873664,21.06737826049895,0.9690993999829516,1.0,2.0,2.0
Random-k Selection,0.5,0.8,0.8,0.643903318903319,0.6973684210526316,0.5,0.5,0.5,0.717948717948718,0.7233888589212246,3.0,170.69565217391306,0.11594202898550725,0.34782608695652173,0.17391304347826086,0.21533954334008887,0.1520458660947131,2.748676087282112,0.12643910001497716,1.0,2.0,2.0
TeleMin-RAG,0.5,0.7,0.7,0.5738888888888889,0.6973684210526316,0.5,0.5,0.5,0.7246376811594203,0.6894781377341854,2.8260869565217392,183.52173913043478,0.0,0.0,0.17391304347826086,0.11325870002036198,0.14606785055410432,21.931767390291817,1.0088612999534234,1.0,2.0,2.0
Full Context,0.4722222222222222,0.8333333333333333,0.8333333333333333,0.6639231601731602,0.6760115378536431,0.4444444444444444,0.5,0.4444444444444444,0.0,0.0,11.0,640.7173913043478,0.09401709401709402,1.0,0.19565217391304346,0.16658354883661994,0.1541682378403172,2.475782608836079,0.11388600000645965,0.8888888888888888,5.0,7.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.39610389610389607,0.6583333333333334,0.6583333333333334,0.35184766214177976,0.585551948051948,0.36363636363636365,0.42857142857142855,0.36363636363636365,0.7246376811594203,0.6894781377341854,2.8260869565217392,183.52173913043478,0.0,0.0,0.32608695652173914,0.27239130434782605,0.28268043478260874,679.7059391316473,31.26647320005577,0.8484848484848485,6.0,8.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.37412587412587417,0.4305555555555555,0.6305555555555555,0.3037827812284334,0.34122960372960376,0.36363636363636365,0.38461538461538464,0.36363636363636365,0.717948717948718,0.6969450776552873,3.0,189.43478260869563,0.18840579710144928,0.5652173913043479,0.6521739130434783,0.5921739130434781,0.5622565217391304,1008.757328260285,46.40283709997311,0.9454545454545454,7.0,6.0
TF-IDF/BM25 Selection,0.3666666666666667,0.8,0.8,0.6651260504201681,0.5828431372549019,0.3333333333333333,0.4,0.3333333333333333,0.717948717948718,0.6969450776552873,3.0,189.43478260869563,0.18840579710144928,0.5652173913043479,0.30434782608695654,0.24613009173834505,0.17128632801317417,2.845115215598565,0.130875299917534,0.8333333333333333,8.0,9.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.35714285714285715,0.17222222222222222,0.8277777777777777,0.17895911987983598,0.17857142857142858,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.0,0.0,11.0,640.7173913043478,0.09401709401709402,1.0,0.782608695652174,0.7119565217391305,0.6788108695652175,508.86418043544677,23.407752300030552,1.0,9.0,2.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.20634920634920634,0.29722222222222217,0.7027777777777777,0.18368477714385642,0.3081746031746032,0.19047619047619047,0.19047619047619047,0.2222222222222222,0.0,0.0,11.0,640.7173913043478,0.09401709401709402,1.0,0.6739130434782609,0.6319565217391304,0.60005,1352.8314717417663,62.230247700121254,1.1666666666666667,10.0,1.0
