method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Random-k Selection,0.7983193277310925,0.8458333333333333,0.8458333333333333,0.9234043198516881,0.7047152194211017,0.7142857142857143,0.8823529411764706,0.7142857142857143,0.717948717948718,0.7169045790378248,3.0,252.52173913043478,0.07971014492753624,0.2391304347826087,0.2608695652173913,0.1970777803199833,0.1807207071523773,1.4840804354247192,0.06826770002953708,0.8095238095238095,1.0,4.0
Full Context,0.7611764705882353,0.8458333333333333,0.8458333333333333,0.9200068179441244,0.6901120448179271,0.64,0.8823529411764706,0.64,0.0,0.0,11.0,923.5217391304348,0.09401709401709402,1.0,0.28260869565217395,0.2561045523860731,0.18501035863390408,3.4371630400014315,0.15810949984006584,0.7253333333333334,2.0,6.0
TeleMin-RAG,0.7611764705882353,0.7333333333333334,0.7333333333333334,0.7805798786098961,0.6901120448179271,0.64,0.8823529411764706,0.64,0.696395392047566,0.6844590485392313,3.2608695652173916,283.9130434782609,0.0,0.0,0.28260869565217395,0.23268980510543677,0.1920182789259444,44.190158695488684,2.0327472999924794,0.7253333333333334,2.0,6.0
Embedding Similarity Selection,0.7575000000000001,0.85,0.85,0.9232360424233489,0.7001785714285714,0.64,0.875,0.64,0.717948717948718,0.7453592589766697,3.0,226.82608695652175,0.3333333333333333,1.0,0.28260869565217395,0.18379699063099297,0.17853879971379522,24.724504348578982,1.1373272000346333,0.7314285714285714,4.0,5.0
Mutual Information Feature Selection,0.7455242966751918,0.8375,0.8375,0.9188677971495308,0.6916027280477408,0.6086956521739131,0.8823529411764706,0.6086956521739131,0.717948717948718,0.7066410336257514,3.0,261.2608695652174,0.0,0.0,0.28260869565217395,0.18436034287297265,0.1773254272467193,3.2048239094286184,0.14742189983371645,0.6898550724637682,5.0,8.0
TF-IDF/BM25 Selection,0.6266447368421053,0.7625,0.7625,0.8634760613744998,0.6572377123363966,0.3157894736842105,0.9375,0.3157894736842105,0.717948717948718,0.7264755091743726,3.0,244.82608695652175,0.14492753623188406,0.4347826086956522,0.32608695652173914,0.2597342638917013,0.21301488904282517,3.3550456510451827,0.1543320999480784,0.3368421052631579,6.0,9.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.5008695652173913,0.4354166666666667,0.5645833333333333,0.6763865354594254,0.4761076604554865,0.48,0.5217391304347826,0.48,0.696395392047566,0.6844590485392313,3.2608695652173916,283.9130434782609,0.0,0.0,0.5217391304347826,0.45434782608695645,0.47122173913043475,1566.6930456519249,72.06788009998854,0.92,7.0,3.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.4228571428571429,0.3916666666666666,0.6083333333333334,0.6071376811594204,0.4304761904761905,0.2857142857142857,0.2857142857142857,0.56,0.0,0.0,11.0,923.5217391304348,0.09401709401709402,1.0,0.5652173913043479,0.5382608695652173,0.5461826086956522,1639.3918391296884,75.41202459996566,1.9600000000000002,8.0,2.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.3576923076923077,0.3125,0.6875,0.5889097579257763,0.38076923076923075,0.1,0.1,0.6153846153846154,0.0,0.0,11.0,923.5217391304348,0.09401709401709402,1.0,0.6086956521739131,0.5471739130434783,0.535041304347826,1001.4178586956721,46.065221500000916,6.153846153846154,9.0,1.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.25,0.4895833333333333,0.5520833333333333,0.7134057971014492,0.35530303030303034,0.0,0.5,0.0,0.717948717948718,0.7264755091743726,3.0,244.82608695652175,0.14492753623188406,0.4347826086956522,0.6086956521739131,0.5978260869565217,0.5984478260869566,1992.93376087039,91.67495300003793,0.0,10.0,10.0
