method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
TeleMin-RAG,0.5756735034386631,0.7280513246965452,0.7317277952847805,0.6140458037808711,0.680374046734616,0.0,0.6165775401069518,0.5347694667703742,0.6514539204756595,0.6483470811690593,3.6929347826086953,208.01358695652175,0.0,0.0,0.24456521739130432,0.1921631919767013,0.18289821837632425,19.89557717372562,7.3215723999310285,0.867319083140156,1.0,5.0
Full Context,0.540359354268023,0.792374241363212,0.7948252217553688,0.6899069875369943,0.6590640241210228,0.0,0.6037765983586416,0.47694211017740423,0.0,0.0,11.0,637.2744565217391,0.094017094017094,1.0,0.25815217391304346,0.22664601675250085,0.187149635117272,1.845986955943416,0.6793231997871763,0.7899314274086886,2.0,8.0
Embedding Similarity Selection,0.5372824402749605,0.7174712593370682,0.7320545926704015,0.6190832569342339,0.6428477136841197,0.0,0.5589665032679738,0.5155983772819472,0.717948717948718,0.7186929712830317,3.0,170.125,0.3333333333333333,1.0,0.2853260869565217,0.2209661051376045,0.19796229006366572,13.41801711912368,4.937830299837515,0.9224137301028297,3.0,4.0
Mutual Information Feature Selection,0.5303152609157791,0.7251736111111111,0.7265625,0.631194872403207,0.640588989279194,0.3076923076923077,0.6004575489869608,0.46017297284459757,0.717948717948718,0.7138430086805201,3.0,176.76086956521738,0.00181159420289855,0.00543478260869565,0.2934782608695652,0.19460525759217107,0.19326140110704032,2.250342118318456,0.8281258995411911,0.7663705346380622,4.0,9.0
Random-k Selection,0.5037267471091,0.6933998599439776,0.7738328664799252,0.6189097099810026,0.6270260065997428,0.0,0.5527427637721756,0.45471073044602456,0.717948717948718,0.721148111050508,3.0,172.19021739130434,0.10054347826086954,0.30163043478260865,0.29347826086956513,0.23010837553239005,0.19896954044722448,1.1653527174570153,0.42884980002418105,0.8226443840582652,5.0,7.0
TF-IDF/BM25 Selection,0.5021173808482202,0.7196705765639589,0.731312733426704,0.6252715298549806,0.6304249767982664,0.1666666666666666,0.6016675420168067,0.4025672196796338,0.717948717948718,0.7187441489439654,3.0,173.29347826086956,0.08152173913043477,0.24456521739130435,0.30163043478260865,0.21643993196789552,0.20292175668722817,2.067302989219214,0.7607675000326699,0.6690858182746855,6.0,10.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.45132977849090383,0.5961750846171803,0.6735407183706816,0.5139759648007388,0.5830826350519418,0.0,0.44238189346884993,0.4602776635129576,0.6514539204756595,0.6483470811690593,3.6929347826086953,208.01358695652175,0.0,0.0,0.3396739130434782,0.29288043478260867,0.3046570652173913,1034.799699456451,380.80628939997405,1.0404532154419377,7.0,3.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.37526225967015436,0.5534900939542484,0.6003957312091504,0.4801309031124198,0.4849059743719186,0.0,0.4034033072190967,0.3471212121212121,0.717948717948718,0.7187441489439654,3.0,173.29347826086956,0.08152173913043477,0.24456521739130435,0.44836956521739124,0.4117119565217391,0.4119676630434782,1318.6672529883926,485.26954909972847,0.8604818203254923,8.0,6.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.3329814092717318,0.3082713293650793,0.6972433765172736,0.32970096766192863,0.3445357917326771,0.0,0.24697802197802196,0.41898479656544174,0.0,0.0,11.0,637.2744565217391,0.094017094017094,1.0,0.6304347826086957,0.5897282608695653,0.5694173913043478,1346.738120381222,495.5996283002896,1.6964456724117998,9.0,1.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.3135724124163498,0.22444852941176469,0.7755514705882354,0.305858334719205,0.2152880304708687,0.0,0.27461144179894176,0.35253338303375786,0.0,0.0,11.0,637.2744565217391,0.094017094017094,1.0,0.7581521739130435,0.6883423913043478,0.6593013586956522,770.5947445656816,283.5788660001708,1.2837534398580053,10.0,2.0
