dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
HPC,Full Context,0.0,0.1,instruction,4,0.04323419998399913,0.5764559997866551,0.76,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.7435410334346504,0.8775510204081632,0.8775510204081632,0.8205479682238374,0.15250149420837208,0.1412217517943976,0.24,9.0,675.0,0.0,0.0,1.0,75.0,373.38666666666666,28004.0,51.77333333333333,3883.0,9.0,675.0,0.0,0.0,1.0,75.0,373.38666666666666,28004.0,51.77333333333333,3883.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.1386587630338523,1.500011421740055e-06,8.0,,,,,,,,,,1.0,0.0
HPC,Full Context,0.1,0.1,instruction,4,0.047069900028873235,0.6275986670516431,0.76,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7350863422291993,0.8728414442700156,0.8728414442700156,0.8094819967261826,0.15249740437085044,0.12169487254904271,0.24,10.0,750.0,1.0,75.0,1.0,75.0,412.5466666666667,30941.0,51.64,3873.0,10.0,750.0,1.0,75.0,1.0,75.0,412.5466666666667,30941.0,51.64,3873.0,0.1,0.1,1.0,1.0,0.0,0.0,0.1251737177208235,1.500011421740055e-06,8.0,,,,,,,,,,0.9635627530364372,0.02472527472527475
HPC,Full Context,0.2,0.1,instruction,4,0.058614400040823966,0.7815253338776529,0.76,0.6818181818181818,0.5769230769230769,0.625,0.7242647058823529,0.8649921507064363,0.8649921507064363,0.7873075227620553,0.15752069250256157,0.08799161617979342,0.24,11.0,825.0,2.0,150.0,1.0,75.0,451.04,33828.0,50.733333333333334,3805.0,11.0,825.0,2.0,150.0,1.0,75.0,451.04,33828.0,50.733333333333334,3805.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.11248078514839778,1.500011421740055e-06,8.0,,,,,,,,,,0.9210526315789473,0.0535714285714286
HPC,Full Context,0.3,0.1,instruction,4,0.04835359996650368,0.644714666220049,0.8,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.7676099979343111,0.8759811616954475,0.8759811616954475,0.8033544397872256,0.1527948099401187,0.1438980880270403,0.2,11.0,825.0,2.0,150.0,1.0,75.0,446.25333333333333,33469.0,51.266666666666666,3845.0,11.0,825.0,2.0,150.0,1.0,75.0,446.25333333333333,33469.0,51.266666666666666,3845.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.11488242851594012,1.500011421740055e-06,8.0,,,,,,,,,,1.0033594624860023,-0.0022796352583586144
HPC,Full Context,0.4,0.1,instruction,4,0.054156499973032624,0.7220866663071016,0.8133333333333334,0.7727272727272727,0.6538461538461539,0.7083333333333334,0.7855392156862746,0.8555729984301413,0.8555729984301413,0.7881467191160197,0.16067889433845114,0.13511829906205697,0.18666666666666668,12.0,900.0,3.0,225.0,1.0,75.0,487.1333333333333,36535.0,50.38666666666666,3779.0,12.0,900.0,3.0,225.0,1.0,75.0,487.1333333333333,36535.0,50.38666666666666,3779.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.10343506226905706,1.500011421740055e-06,8.0,,,,,,,,,,1.043859649122807,-0.029761904761904767
HPC,Full Context,0.5,0.1,instruction,4,0.058987799973692745,0.7865039996492366,0.7866666666666666,0.8571428571428571,0.46153846153846156,0.6,0.7272727272727273,0.882260596546311,0.882260596546311,0.7909112184849945,0.15810311428370286,0.13446925192497305,0.21333333333333335,13.0,975.0,4.0,300.0,1.0,75.0,529.1066666666667,39683.0,51.18666666666667,3839.0,13.0,975.0,4.0,300.0,1.0,75.0,529.1066666666667,39683.0,51.18666666666667,3839.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.09674167779653756,1.500011421740055e-06,8.0,,,,,,,,,,0.8842105263157894,0.07857142857142863
HPC,Random-k Selection,0.0,0.1,instruction,4,0.044736300013028085,0.5964840001737078,0.7066666666666667,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.6975806451612903,0.7817896389324961,0.7817896389324961,0.5762574785316767,0.18948598757532692,0.14812991245555376,0.29333333333333333,3.0,225.0,0.0,0.0,0.41333333333333333,31.0,122.8,9210.0,21.16,1587.0,9.0,675.0,0.0,0.0,1.0,75.0,373.38666666666666,28004.0,51.77333333333333,3883.0,0.0,0.13777777777777778,0.41333333333333333,0.0,0.6666666666666667,0.6711184116554778,0.1723127035830619,5.00003807246685e-07,3.0,,,,,,,,,,1.0,0.0
HPC,Random-k Selection,0.1,0.1,instruction,4,0.04418189998250455,0.5890919997667273,0.72,0.6,0.5769230769230769,0.5882352941176471,0.6880570409982174,0.7817896389324961,0.7817896389324961,0.6616789395886362,0.18103118108866204,0.09130695827848151,0.28,3.0,225.0,0.26666666666666666,20.0,0.32,24.0,125.84,9438.0,17.066666666666666,1280.0,10.0,750.0,1.0,75.0,1.0,75.0,412.5466666666667,30941.0,51.64,3873.0,0.08888888888888889,0.10666666666666667,0.32,0.26666666666666666,0.7,0.6949678420219128,0.13562195380377198,5.00003807246685e-07,3.0,,,,,,,,,,0.911764705882353,0.05692599620493355
HPC,Random-k Selection,0.2,0.1,instruction,4,0.027367500006221235,0.3649000000829498,0.72,0.5806451612903226,0.6923076923076923,0.631578947368421,0.7028862478777589,0.7574568288854003,0.7574568288854003,0.5810442515508899,0.19298649514929248,0.10855076602155322,0.28,3.0,225.0,0.6533333333333333,49.0,0.25333333333333335,19.0,125.34666666666666,9401.0,12.92,969.0,11.0,825.0,2.0,150.0,1.0,75.0,451.04,33828.0,50.733333333333334,3805.0,0.21777777777777776,0.08444444444444445,0.25333333333333335,0.32666666666666666,0.7272727272727273,0.7220941232115408,0.10307414104882459,5.00003807246685e-07,3.0,,,,,,,,,,0.9789473684210526,0.01358234295415961
HPC,Random-k Selection,0.3,0.1,instruction,4,0.0344086000113748,0.45878133348499733,0.7333333333333333,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.7106481481481481,0.8014128728414442,0.8014128728414442,0.6777951754749737,0.18564620206406277,0.16811812717028504,0.26666666666666666,3.0,225.0,0.5333333333333333,40.0,0.30666666666666664,23.0,128.22666666666666,9617.0,16.093333333333334,1207.0,11.0,825.0,2.0,150.0,1.0,75.0,446.25333333333333,33469.0,51.266666666666666,3845.0,0.17777777777777778,0.10222222222222223,0.30666666666666664,0.26666666666666666,0.7272727272727273,0.7126594759329529,0.12550691483830717,5.00003807246685e-07,3.0,,,,,,,,,,0.975925925925926,0.015531660692950977
