dataset,method,mean_f1,mean_auroc,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,robustness_retention,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_latency_per_context_ms,total_eval_seconds,rank_in_dataset
Apache,TF-IDF/BM25 Selection,0.5555031518189414,0.7320399764844209,0.4757075583100267,0.6420028813636803,0.5,0.5520779220779221,0.5572157666894509,1.0093063757959944,0.7234071484071484,0.7447159190888909,3.0,130.61111111111111,0.0,0.0,0.33688888888888885,0.9783550222507781,2.201298800064251,1.0
Apache,Full Context,0.5290052166910618,0.7814814814814816,0.6239725156405729,0.6786521534055739,0.29411764705882354,0.5315002924246622,0.4812271698307352,0.9054128035102577,0.0,0.0,11.0,519.2448888888889,0.09219761719761722,1.0,0.24933333333333335,1.0873354222211575,2.446504699997604,2.0
Apache,Embedding Similarity Selection,0.5226313995812869,0.6695179306290417,0.44126745381909366,0.5194194893704122,0.4675324675324675,0.5226313995812868,0.5226313995812868,1.0,0.7234071484071484,0.7381821653769745,3.0,133.9511111111111,0.3333333333333334,1.0,0.48000000000000004,7.387197244524335,16.621193800179753,3.0
Apache,Random-k Selection,0.4667100373467038,0.6843327454438567,0.4861817354450678,0.6251693909814668,0.29411764705882354,0.5290368387792276,0.47887372173749887,0.9051802948968884,0.7234071484071484,0.7233266975227617,3.0,141.6471111111111,0.0928888888888889,0.2786666666666667,0.3044444444444444,0.5527388001533431,1.2436623003450222,4.0
Apache,TeleMin-RAG,0.46376148161436875,0.6608612580834802,0.5138531327854504,0.6693438502216952,0.16666666666666666,0.6186506430529201,0.3471108639228773,0.5610773508776343,0.8939174997841666,0.8930125898571663,1.1560000000000001,54.999555555555546,0.0,0.0,0.20222222222222225,8.378677822209687,18.852025099971797,5.0
Apache,Mutual Information Feature Selection,0.39494957424117877,0.6604203409758964,0.5358455550251511,0.617425283767765,0.15384615384615385,0.5066986140474513,0.20089855072463764,0.39648529748262523,0.7234071484071484,0.7213780729300414,3.0,142.65644444444442,0.0,0.0,0.24933333333333335,1.312525022154053,2.9531812998466194,6.0
HPC,TeleMin-RAG,0.7188094630512836,0.8154369440083725,0.6639956852087551,0.7721624465168823,0.6428571428571429,0.7347085876918,0.72820006405466,0.9911413535295843,0.8761593369593369,0.8846901216055728,1.3253333333333333,50.17333333333333,0.0,0.0,0.21511111111111111,6.855813377821404,15.42558010009816,1.0
HPC,Mutual Information Feature Selection,0.6973956758751981,0.8178048142333857,0.7208964635111125,0.7600607095733979,0.6122448979591837,0.7037418209462875,0.6842991330322866,0.9723724136674765,0.7234071484071484,0.7454743025934387,3.0,112.33244444444446,0.0,0.0,0.22311111111111107,0.9112838221610422,2.0503885998623446,2.0
HPC,Full Context,0.671262828384264,0.8597331240188383,0.7771640382020196,0.7534077080260028,0.5714285714285714,0.7071861471861473,0.6212244897959185,0.8784455016090669,0.0,0.0,11.0,447.2733333333333,0.09219761719761722,1.0,0.21822222222222226,1.0339274221720793,2.326336699887179,3.0
HPC,Random-k Selection,0.6398305546886663,0.7951203558346415,0.6770524978396169,0.7220718524861705,0.5416666666666666,0.632539916906173,0.6231809643936781,0.9852041708952209,0.7234071484071484,0.7233953247263271,3.0,122.05822222222224,0.08785185185185186,0.2635555555555556,0.2524444444444444,0.4662208889818026,1.0489970002090558,4.0
HPC,Embedding Similarity Selection,0.5979077261623991,0.7573260073260074,0.6062825257878068,0.6761605023537626,0.5333333333333333,0.6095173620166302,0.5626553838318544,0.9231162537688349,0.7234071484071484,0.6793631543484635,3.0,141.82844444444444,0.3322962962962963,0.996888888888889,0.3044444444444444,5.618178755536468,12.640902199957054,5.0
HPC,TF-IDF/BM25 Selection,0.5942423241969144,0.7765829408686552,0.6305282702555985,0.668062155104553,0.39215686274509803,0.6594656392608493,0.579209212677007,0.8783008214441674,0.7234071484071484,0.7149127347791213,3.0,126.0208888888889,0.0,0.0,0.31422222222222224,0.8314152888488024,1.8706843999098055,6.0
