dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,3,0.16702900000382215,2.2270533333842955,0.9333333333333333,0.75,0.9230769230769231,0.8275862068965517,0.8931319464234825,0.9838709677419355,0.9838709677419355,0.9386113886113886,0.08333287441840122,0.20749019696890117,0.06666666666666667,9.0,675.0,0.0,0.0,1.0,75.0,527.5466666666666,39566.0,50.04,3753.0,9.0,675.0,0.0,0.0,1.0,75.0,527.5466666666666,39566.0,50.04,3753.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0948541677197594,2.800021320581436e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,instruction,3,0.21388799999840558,2.851839999978741,0.9466666666666667,0.8,0.9230769230769231,0.8571428571428571,0.9121779859484778,0.9875930521091811,0.9875930521091811,0.9353299478299477,0.08181113530431501,0.2027197285859351,0.05333333333333334,10.0,750.0,1.0,75.0,1.0,75.0,587.2533333333333,44044.0,50.38666666666666,3779.0,10.0,750.0,1.0,75.0,1.0,75.0,587.2533333333333,44044.0,50.38666666666666,3779.0,0.1,0.1,1.0,1.0,0.0,0.0,0.08580056307329034,2.800021320581436e-06,8.0,,,,,,,,,,1.0357142857142856,-0.029556650246305383
BGL,Full Context,0.2,0.1,instruction,3,0.22576949995709583,3.0102599994279444,0.9466666666666667,0.8,0.9230769230769231,0.8571428571428571,0.9121779859484778,0.9714640198511166,0.9714640198511166,0.9273141922180383,0.08969403717245152,0.21078049517446706,0.05333333333333334,11.0,825.0,2.0,150.0,1.0,75.0,643.3333333333334,48250.0,50.14666666666667,3761.0,11.0,825.0,2.0,150.0,1.0,75.0,643.3333333333334,48250.0,50.14666666666667,3761.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07794818652849742,2.800021320581436e-06,8.0,,,,,,,,,,1.0357142857142856,-0.029556650246305383
BGL,Full Context,0.3,0.1,instruction,3,0.1894293999648653,2.5257253328648708,0.9333333333333333,0.75,0.9230769230769231,0.8275862068965517,0.8931319464234825,0.9776674937965261,0.9776674937965261,0.9103546026622948,0.08794250177394508,0.19778447143918657,0.06666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,644.28,48321.0,49.42666666666667,3707.0,11.0,825.0,2.0,150.0,1.0,75.0,644.28,48321.0,49.42666666666667,3707.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07671612756358519,2.800021320581436e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.4,0.1,instruction,3,0.2264147000387311,3.018862667183081,0.96,0.9166666666666666,0.8461538461538461,0.88,0.9279999999999999,0.9875930521091811,0.9875930521091811,0.9583685545224006,0.08613085922202893,0.2258622331878466,0.04,12.0,900.0,3.0,225.0,1.0,75.0,706.7733333333333,53008.0,50.28,3771.0,12.0,900.0,3.0,225.0,1.0,75.0,706.7733333333333,53008.0,50.28,3771.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07114020525203743,2.800021320581436e-06,8.0,,,,,,,,,,1.0633333333333335,-0.05241379310344829
BGL,Full Context,0.5,0.1,instruction,3,0.21082410000963137,2.810988000128418,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9789081885856079,0.9789081885856079,0.9309923409923408,0.09008523750630068,0.2151711458707366,0.05333333333333334,13.0,975.0,4.0,300.0,1.0,75.0,759.9333333333333,56995.0,50.81333333333333,3811.0,13.0,975.0,4.0,300.0,1.0,75.0,759.9333333333333,56995.0,50.81333333333333,3811.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06686551451881743,2.800021320581436e-06,8.0,,,,,,,,,,1.0224358974358974,-0.018567639257294433
BGL,Random-k Selection,0.0,0.1,instruction,3,0.09809839999070391,1.3079786665427189,0.8933333333333333,0.631578947368421,0.9230769230769231,0.75,0.8411016949152542,0.9615384615384616,0.9615384615384616,0.843900097150871,0.1002236896420562,0.18976028233526068,0.10666666666666667,3.0,225.0,0.0,0.0,0.30666666666666664,23.0,172.01333333333332,12901.0,15.106666666666667,1133.0,9.0,675.0,0.0,0.0,1.0,75.0,527.5466666666666,39566.0,50.04,3753.0,0.0,0.10222222222222223,0.30666666666666664,0.0,0.6666666666666667,0.673937218824243,0.08782264940702271,1.300009898841381e-06,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,instruction,3,0.05786090000765398,0.7714786667687198,0.8266666666666667,0.5,0.6153846153846154,0.5517241379310345,0.7221430607010544,0.9305210918114144,0.9305210918114144,0.7920400973470026,0.10526312167393591,0.1939289149489666,0.17333333333333334,3.0,225.0,0.26666666666666666,20.0,0.3466666666666667,26.0,168.0,12600.0,17.173333333333332,1288.0,10.0,750.0,1.0,75.0,1.0,75.0,587.2533333333333,44044.0,50.38666666666666,3779.0,0.08888888888888889,0.11555555555555555,0.3466666666666667,0.26666666666666666,0.7,0.7139224411951685,0.10222222222222223,1.300009898841381e-06,3.0,,,,,,,,,,0.735632183908046,0.19827586206896552
BGL,Random-k Selection,0.2,0.1,instruction,3,0.07936570001766086,1.0582093335688114,0.8533333333333334,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.7515808491418248,0.9156327543424319,0.9156327543424319,0.7440602043031193,0.12161749702273894,0.1838921262033328,0.14666666666666667,3.0,225.0,0.6266666666666667,47.0,0.3333333333333333,25.0,172.78666666666666,12959.0,16.706666666666667,1253.0,11.0,825.0,2.0,150.0,1.0,75.0,643.3333333333334,48250.0,50.14666666666667,3761.0,0.2088888888888889,0.1111111111111111,0.3333333333333333,0.31333333333333335,0.7272727272727273,0.731419689119171,0.09668955937958176,1.300009898841381e-06,3.0,,,,,,,,,,0.7901234567901234,0.15740740740740744
BGL,Random-k Selection,0.3,0.1,instruction,3,0.20811000000685453,2.774800000091394,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9801488833746899,0.9801488833746899,0.9399267399267397,0.09028858496123818,0.20493336012294033,0.06666666666666667,3.0,225.0,0.5466666666666666,41.0,0.26666666666666666,20.0,170.4,12780.0,13.146666666666667,986.0,11.0,825.0,2.0,150.0,1.0,75.0,644.28,48321.0,49.42666666666667,3707.0,0.18222222222222223,0.08888888888888889,0.26666666666666666,0.2733333333333333,0.7272727272727273,0.735518718569566,0.07715179968701096,1.300009898841381e-06,3.0,,,,,,,,,,1.0864197530864197,-0.06481481481481477
