dataset,reference,baseline,metric,n_pairs,mean_delta,wilcoxon_stat,p_value,significant_0_05
BGL,TeleMin-RAG,Random-k Selection,f1,30,0.1958551888816756,0.0,1.733306644199106e-06,True
BGL,TeleMin-RAG,TF-IDF/BM25 Selection,f1,30,0.07670076079710375,21.0,1.3579717442380893e-05,True
BGL,TeleMin-RAG,Mutual Information Feature Selection,f1,30,0.06208067894124866,10.5,4.3130686915898256e-05,True
BGL,TeleMin-RAG,Full Context,f1,30,0.05645616388973341,35.0,0.00013038877686846715,True
BGL,TeleMin-RAG,Embedding Similarity Selection,f1,30,0.052438608479982954,51.0,0.0009137834485095196,True
UNSW_NB15,TeleMin-RAG,Mutual Information Feature Selection,f1,30,0.14988408167846137,13.0,1.5144889860530219e-05,True
UNSW_NB15,TeleMin-RAG,TF-IDF/BM25 Selection,f1,30,0.14370437159882274,19.0,1.76807219369547e-05,True
UNSW_NB15,TeleMin-RAG,Embedding Similarity Selection,f1,30,-0.0423051571346379,24.0,4.580032436608647e-05,True
UNSW_NB15,TeleMin-RAG,Random-k Selection,f1,30,0.031570897878335454,97.0,0.009171463756728953,True
UNSW_NB15,TeleMin-RAG,Full Context,f1,30,0.00991674639358241,212.0,0.9053327102078165,False
