dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,obfuscated,1,0.0532301000203006,0.7097346669373413,0.8666666666666667,0.5789473684210527,0.8461538461538461,0.6875,0.8013771186440678,0.966501240694789,0.966501240694789,0.9155916547220896,0.0930576253766967,0.2121531238722245,0.13333333333333333,9.0,675.0,0.0,0.0,1.0,75.0,537.28,40296.0,55.56,4167.0,9.0,675.0,0.0,0.0,1.0,75.0,537.28,40296.0,55.56,4167.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.10340976771888029,9.999494068324566e-07,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,obfuscated,1,0.07614780002040789,1.0153040002721052,0.88,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.8170235836269992,0.9640198511166254,0.9640198511166254,0.9132107023411371,0.09042204227462049,0.213363263653732,0.12,10.0,750.0,1.0,75.0,1.0,75.0,597.48,44811.0,58.013333333333335,4351.0,10.0,750.0,1.0,75.0,1.0,75.0,597.48,44811.0,58.013333333333335,4351.0,0.1,0.1,1.0,1.0,0.0,0.0,0.09709669500792216,9.999494068324566e-07,8.0,,,,,,,,,,1.032258064516129,-0.022177419354838745
BGL,Full Context,0.2,0.1,obfuscated,1,0.0651493999757804,0.8686586663437387,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.9491315136476427,0.9491315136476427,0.8588813430159583,0.10261426898159541,0.20061527615142724,0.08,11.0,825.0,2.0,150.0,1.0,75.0,655.3066666666666,49148.0,58.2,4365.0,11.0,825.0,2.0,150.0,1.0,75.0,655.3066666666666,49148.0,58.2,4365.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.08881337999511679,9.999494068324566e-07,8.0,,,,,,,,,,1.1428571428571428,-0.0982142857142857
BGL,Full Context,0.3,0.1,obfuscated,1,0.06724629999371246,0.8966173332494994,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9553349875930521,0.9553349875930521,0.8984220907297829,0.08889249555173384,0.19019733511867243,0.09333333333333334,11.0,825.0,2.0,150.0,1.0,75.0,652.8266666666667,48962.0,56.04,4203.0,11.0,825.0,2.0,150.0,1.0,75.0,652.8266666666667,48962.0,56.04,4203.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.08584208161431314,9.999494068324566e-07,8.0,,,,,,,,,,1.103448275862069,-0.07112068965517238
BGL,Full Context,0.4,0.1,obfuscated,1,0.09647950000362471,1.2863933333816628,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9553349875930521,0.9553349875930521,0.9092340848806364,0.09855342071688478,0.22103643972288467,0.09333333333333334,12.0,900.0,3.0,225.0,1.0,75.0,716.24,53718.0,56.22666666666667,4217.0,12.0,900.0,3.0,225.0,1.0,75.0,716.24,53718.0,56.22666666666667,4217.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07850255035556052,9.999494068324566e-07,8.0,,,,,,,,,,1.103448275862069,-0.07112068965517238
BGL,Full Context,0.5,0.1,obfuscated,1,0.08319410000694916,1.1092546667593222,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.9789081885856079,0.9789081885856079,0.9234167039596903,0.08849750938642778,0.19970616740376343,0.08,13.0,975.0,4.0,300.0,1.0,75.0,776.4533333333334,58234.0,56.28,4221.0,13.0,975.0,4.0,300.0,1.0,75.0,776.4533333333334,58234.0,56.28,4221.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.07248342892468318,9.999494068324566e-07,8.0,,,,,,,,,,1.1428571428571428,-0.0982142857142857
BGL,Random-k Selection,0.0,0.1,obfuscated,1,0.06022320000920445,0.802976000122726,0.8666666666666667,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.7916666666666666,0.9156327543424319,0.9156327543424319,0.7706927473020014,0.11603818055713004,0.1849575834510039,0.13333333333333333,3.0,225.0,0.0,0.0,0.28,21.0,178.10666666666665,13358.0,15.933333333333334,1195.0,9.0,675.0,0.0,0.0,1.0,75.0,537.28,40296.0,55.56,4167.0,0.0,0.09333333333333334,0.28,0.0,0.6666666666666667,0.668503077228509,0.08945949992513849,1.9000144675374031e-06,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,obfuscated,1,0.03858500003116205,0.5144666670821607,0.8933333333333333,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8243559718969555,0.9218362282878412,0.9218362282878412,0.737954761700581,0.11358873010402462,0.20090115540539297,0.10666666666666667,3.0,225.0,0.29333333333333333,22.0,0.26666666666666666,20.0,175.02666666666667,13127.0,15.173333333333334,1138.0,10.0,750.0,1.0,75.0,1.0,75.0,597.48,44811.0,58.013333333333335,4351.0,0.09777777777777778,0.08888888888888889,0.26666666666666666,0.29333333333333333,0.7,0.7070585347347749,0.08669155176354079,1.9000144675374031e-06,3.0,,,,,,,,,,1.0714285714285716,-0.04761904761904767
BGL,Random-k Selection,0.2,0.1,obfuscated,1,0.05621449998579919,0.7495266664773226,0.88,0.625,0.7692307692307693,0.6896551724137931,0.8076375035622685,0.9069478908188585,0.9069478908188585,0.7872344322344323,0.11414614774852426,0.19309741370411215,0.12,3.0,225.0,0.4666666666666667,35.0,0.24,18.0,180.6,13545.0,13.04,978.0,11.0,825.0,2.0,150.0,1.0,75.0,655.3066666666666,49148.0,58.2,4365.0,0.15555555555555556,0.08,0.24,0.23333333333333334,0.7272727272727273,0.724403841458452,0.07220376522702104,1.9000144675374031e-06,3.0,,,,,,,,,,1.0344827586206897,-0.02298850574712652
BGL,Random-k Selection,0.3,0.1,obfuscated,1,0.03585360001306981,0.47804800017426413,0.8666666666666667,0.6,0.6923076923076923,0.6428571428571429,0.7804449648711944,0.879652605459057,0.879652605459057,0.7007519723865878,0.1150537711876409,0.1604429686119098,0.13333333333333333,3.0,225.0,0.5466666666666666,41.0,0.29333333333333333,22.0,175.04,13128.0,16.426666666666666,1232.0,11.0,825.0,2.0,150.0,1.0,75.0,652.8266666666667,48962.0,56.04,4203.0,0.18222222222222223,0.09777777777777778,0.29333333333333333,0.2733333333333333,0.7272727272727273,0.7318736979698541,0.09384521633150518,1.9000144675374031e-06,3.0,,,,,,,,,,0.9642857142857144,0.023809523809523725
