dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
UNSW_NB15,Full Context,0.0,0.1,semantic,1,0.0823448000010103,1.0979306666801374,0.9733333333333334,0.9622641509433962,1.0,0.9807692307692307,0.9686454849498327,0.9787581699346405,0.9787581699346405,0.9875889291267644,0.060637827088751296,0.1774337991160149,0.02666666666666667,9.0,675.0,0.0,0.0,1.0,75.0,751.5066666666667,56363.0,54.81333333333333,4111.0,9.0,675.0,0.0,0.0,1.0,75.0,751.5066666666667,56363.0,54.81333333333333,4111.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.07293792026684172,1.00000761449337e-06,8.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Full Context,0.1,0.1,semantic,1,0.08495679998304695,1.1327573331072927,0.96,0.98,0.9607843137254902,0.9702970297029703,0.954536269953526,0.9836601307189542,0.9836601307189542,0.9910354365607427,0.09027062363465768,0.24165302446210551,0.04,10.0,750.0,1.0,75.0,1.0,75.0,839.4133333333333,62956.0,55.56,4167.0,10.0,750.0,1.0,75.0,1.0,75.0,839.4133333333333,62956.0,55.56,4167.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0661890844399263,1.00000761449337e-06,8.0,,,,,,,,,,0.9893224616579305,0.010472201066260456
UNSW_NB15,Full Context,0.2,0.1,semantic,1,0.09318210004130378,1.2424280005507171,0.8533333333333334,0.9761904761904762,0.803921568627451,0.8817204301075269,0.844368986983588,0.982843137254902,0.982843137254902,0.9913579059097739,0.12710316037937616,0.2893147813122791,0.14666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,926.2533333333333,69469.0,55.42666666666667,4157.0,11.0,825.0,2.0,150.0,1.0,75.0,926.2533333333333,69469.0,55.42666666666667,4157.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.059839640703047405,1.00000761449337e-06,8.0,,,,,,,,,,0.8990090659919883,0.09904880066170385
UNSW_NB15,Full Context,0.3,0.1,semantic,1,0.10310799995204434,1.3747733326939244,0.8933333333333333,0.9777777777777777,0.8627450980392157,0.9166666666666666,0.8842592592592593,0.9697712418300654,0.9697712418300654,0.977728427388102,0.12629406352615472,0.28576290057822634,0.10666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,926.28,69471.0,55.56,4167.0,11.0,825.0,2.0,150.0,1.0,75.0,926.28,69471.0,55.56,4167.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.059981862935613424,1.00000761449337e-06,8.0,,,,,,,,,,0.934640522875817,0.0641025641025641
UNSW_NB15,Full Context,0.4,0.1,semantic,1,0.10546769999200478,1.406235999893397,0.7866666666666666,0.972972972972973,0.7058823529411765,0.8181818181818182,0.7800586510263929,0.9844771241830066,0.9844771241830066,0.9916159349410713,0.14492556329330036,0.3158030493973809,0.21333333333333335,12.0,900.0,3.0,225.0,1.0,75.0,1013.5733333333334,76018.0,55.64,4173.0,12.0,900.0,3.0,225.0,1.0,75.0,1013.5733333333334,76018.0,55.64,4173.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.05489489331474125,1.00000761449337e-06,8.0,,,,,,,,,,0.8342245989304814,0.1625874125874125
UNSW_NB15,Full Context,0.5,0.1,semantic,1,0.11583959998097271,1.5445279997463028,0.6933333333333334,1.0,0.5490196078431373,0.7088607594936709,0.69245854876092,0.9812091503267973,0.9812091503267973,0.9892518131291953,0.1815561876266708,0.3562731379725388,0.30666666666666664,13.0,975.0,4.0,300.0,1.0,75.0,1100.0933333333332,82507.0,55.16,4137.0,13.0,975.0,4.0,300.0,1.0,75.0,1100.0933333333332,82507.0,55.16,4137.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.05014120014059413,1.00000761449337e-06,8.0,,,,,,,,,,0.7227599900719782,0.27190847127555984
UNSW_NB15,Random-k Selection,0.0,0.1,semantic,1,0.041467899980489165,0.5529053330731889,0.96,0.9444444444444444,1.0,0.9714285714285714,0.9523809523809523,0.9616013071895425,0.9616013071895425,0.9739797180512589,0.0762643501206615,0.1923585958484297,0.04,3.0,225.0,0.0,0.0,0.36,27.0,249.64,18723.0,19.613333333333333,1471.0,9.0,675.0,0.0,0.0,1.0,75.0,751.5066666666667,56363.0,54.81333333333333,4111.0,0.0,0.12,0.36,0.0,0.6666666666666667,0.6678139914482906,0.07856646904876355,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Random-k Selection,0.1,0.1,semantic,1,0.06146340002305806,0.8195120003074408,0.8933333333333333,0.9387755102040817,0.9019607843137255,0.92,0.88,0.9575163398692811,0.9575163398692811,0.9759402516475738,0.10236410273043131,0.2347648240369209,0.10666666666666667,3.0,225.0,0.3466666666666667,26.0,0.28,21.0,252.52,18939.0,15.64,1173.0,10.0,750.0,1.0,75.0,1.0,75.0,839.4133333333333,62956.0,55.56,4167.0,0.11555555555555555,0.09333333333333334,0.28,0.3466666666666667,0.7,0.699170849482178,0.06193568826231586,6.00004568696022e-07,3.0,,,,,,,,,,0.9470588235294118,0.05142857142857138
UNSW_NB15,Random-k Selection,0.2,0.1,semantic,1,0.04475780000211671,0.5967706666948894,0.8533333333333334,0.9761904761904762,0.803921568627451,0.8817204301075269,0.844368986983588,0.9714052287581699,0.9714052287581699,0.9857561880286371,0.11526190090270708,0.22027021097929408,0.14666666666666667,3.0,225.0,0.4666666666666667,35.0,0.29333333333333333,22.0,252.2,18915.0,16.453333333333333,1234.0,11.0,825.0,2.0,150.0,1.0,75.0,926.2533333333333,69469.0,55.42666666666667,4157.0,0.15555555555555556,0.09777777777777778,0.29333333333333333,0.23333333333333334,0.7272727272727273,0.7277202781096604,0.06523922812582607,6.00004568696022e-07,3.0,,,,,,,,,,0.9076533839342189,0.08970814132104454
UNSW_NB15,Random-k Selection,0.3,0.1,semantic,1,0.044291900005191565,0.5905586667358875,0.84,0.9333333333333333,0.8235294117647058,0.875,0.8263888888888888,0.9354575163398693,0.9354575163398693,0.9632566642518116,0.1280074303436373,0.20102854432059214,0.16,3.0,225.0,0.52,39.0,0.26666666666666666,20.0,252.94666666666666,18971.0,14.906666666666666,1118.0,11.0,825.0,2.0,150.0,1.0,75.0,926.28,69471.0,55.56,4167.0,0.17333333333333334,0.08888888888888889,0.26666666666666666,0.26,0.7272727272727273,0.7269220250176333,0.058932054187971115,6.00004568696022e-07,3.0,,,,,,,,,,0.9007352941176471,0.09642857142857142
UNSW_NB15,Random-k Selection,0.4,0.1,semantic,1,0.04609310004161671,0.6145746672215561,0.8533333333333334,1.0,0.7843137254901961,0.8791208791208791,0.8463401005773887,0.9673202614379084,0.9673202614379084,0.9852281843066713,0.13827886036068465,0.24226025509390348,0.14666666666666667,3.0,225.0,0.7066666666666667,53.0,0.29333333333333333,22.0,252.12,18909.0,16.453333333333333,1234.0,12.0,900.0,3.0,225.0,1.0,75.0,1013.5733333333334,76018.0,55.64,4173.0,0.23555555555555555,0.09777777777777778,0.29333333333333333,0.23555555555555555,0.75,0.7512562814070352,0.06525992913427468,6.00004568696022e-07,3.0,,,,,,,,,,0.9049773755656109,0.09230769230769231
