dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,semantic,2,0.05301470000995323,0.7068626667993764,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9739454094292804,0.9739454094292804,0.9297565179918119,0.07509629775137369,0.1898019567562329,0.06666666666666667,9.0,675.0,0.0,0.0,1.0,75.0,518.0133333333333,38851.0,56.25333333333333,4219.0,9.0,675.0,0.0,0.0,1.0,75.0,518.0133333333333,38851.0,56.25333333333333,4219.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.1085943733752027,1.100008375942707e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,semantic,2,0.058869500004220754,0.7849266667229434,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9751861042183623,0.9751861042183623,0.9331501831501829,0.07804714482594759,0.1958907807779248,0.05333333333333334,10.0,750.0,1.0,75.0,1.0,75.0,578.1866666666666,43364.0,56.44,4233.0,10.0,750.0,1.0,75.0,1.0,75.0,578.1866666666666,43364.0,56.44,4233.0,0.1,0.1,1.0,1.0,0.0,0.0,0.09761553362235956,1.100008375942707e-06,8.0,,,,,,,,,,1.0384615384615385,-0.031339031339031376
BGL,Full Context,0.2,0.1,semantic,2,0.06956829997943714,0.9275773330591619,0.96,0.9166666666666666,0.8461538461538461,0.88,0.9279999999999999,0.956575682382134,0.956575682382134,0.9123931623931623,0.08273191771290084,0.21130769184059017,0.04,11.0,825.0,2.0,150.0,1.0,75.0,640.1466666666666,48011.0,55.45333333333333,4159.0,11.0,825.0,2.0,150.0,1.0,75.0,640.1466666666666,48011.0,55.45333333333333,4159.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.08662598154589574,1.100008375942707e-06,8.0,,,,,,,,,,1.08,-0.06518518518518523
BGL,Full Context,0.3,0.1,semantic,2,0.06396100000711158,0.8528133334281544,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9702233250620347,0.9702233250620347,0.9280701754385963,0.08093585164249568,0.22257030902741878,0.05333333333333334,11.0,825.0,2.0,150.0,1.0,75.0,639.1066666666667,47933.0,56.413333333333334,4231.0,11.0,825.0,2.0,150.0,1.0,75.0,639.1066666666667,47933.0,56.413333333333334,4231.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.08826904220474412,1.100008375942707e-06,8.0,,,,,,,,,,1.0384615384615385,-0.031339031339031376
BGL,Full Context,0.4,0.1,semantic,2,0.08548639999935403,1.1398186666580539,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.9751861042183623,0.9751861042183623,0.9194139194139193,0.08236964294663598,0.18893843285552758,0.06666666666666667,12.0,900.0,3.0,225.0,1.0,75.0,696.0933333333334,52207.0,55.586666666666666,4169.0,12.0,900.0,3.0,225.0,1.0,75.0,696.0933333333334,52207.0,55.586666666666666,4169.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07985519183251288,1.100008375942707e-06,8.0,,,,,,,,,,0.9818181818181819,0.014814814814814725
BGL,Full Context,0.5,0.1,semantic,2,0.1114367000409402,1.4858226672125359,0.9733333333333334,1.0,0.8461538461538461,0.9166666666666666,0.9503968253968254,0.9702233250620347,0.9702233250620347,0.9258241758241756,0.0824113637147832,0.22386326912773263,0.02666666666666667,13.0,975.0,4.0,300.0,1.0,75.0,754.4533333333334,56584.0,55.96,4197.0,13.0,975.0,4.0,300.0,1.0,75.0,754.4533333333334,56584.0,55.96,4197.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.07417291107026722,1.100008375942707e-06,8.0,,,,,,,,,,1.125,-0.10185185185185186
BGL,Random-k Selection,0.0,0.1,semantic,2,0.03526799997780472,0.47023999970406294,0.9066666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8419150858175248,0.9367245657568237,0.9367245657568237,0.8335462839408319,0.10052502361590399,0.1810267837646129,0.09333333333333334,3.0,225.0,0.0,0.0,0.38666666666666666,29.0,173.94666666666666,13046.0,22.013333333333332,1651.0,9.0,675.0,0.0,0.0,1.0,75.0,518.0133333333333,38851.0,56.25333333333333,4219.0,0.0,0.1288888888888889,0.38666666666666666,0.0,0.6666666666666667,0.6642042675864199,0.12655219990801778,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,semantic,2,0.03255979996174574,0.43413066615660983,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9652605459057071,0.9652605459057071,0.8799395049395048,0.0924779048705556,0.19834131774602282,0.06666666666666667,3.0,225.0,0.18666666666666668,14.0,0.25333333333333335,19.0,174.09333333333333,13057.0,14.44,1083.0,10.0,750.0,1.0,75.0,1.0,75.0,578.1866666666666,43364.0,56.44,4233.0,0.06222222222222222,0.08444444444444445,0.25333333333333335,0.18666666666666668,0.7,0.6988977031639148,0.08294401470475607,6.00004568696022e-07,3.0,,,,,,,,,,1.1,-0.07407407407407407
BGL,Random-k Selection,0.2,0.1,semantic,2,0.03142600000137463,0.41901333335166174,0.8933333333333333,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.8015873015873016,0.9069478908188585,0.9069478908188585,0.8060275194890578,0.10240525969865583,0.1713653772120944,0.10666666666666667,3.0,225.0,0.5333333333333333,40.0,0.28,21.0,174.02666666666667,13052.0,15.613333333333333,1171.0,11.0,825.0,2.0,150.0,1.0,75.0,640.1466666666666,48011.0,55.45333333333333,4159.0,0.17777777777777778,0.09333333333333334,0.28,0.26666666666666666,0.7272727272727273,0.7281456332923705,0.08971805087342936,6.00004568696022e-07,3.0,,,,,,,,,,0.9,0.07407407407407407
BGL,Random-k Selection,0.3,0.1,semantic,2,0.03194590000202879,0.4259453333603839,0.8666666666666667,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.7336647727272727,0.9267990074441688,0.9267990074441688,0.764273145155498,0.10470576094248454,0.20793403619546583,0.13333333333333333,3.0,225.0,0.5866666666666667,44.0,0.22666666666666666,17.0,175.37333333333333,13153.0,12.946666666666667,971.0,11.0,825.0,2.0,150.0,1.0,75.0,639.1066666666667,47933.0,56.413333333333334,4231.0,0.19555555555555557,0.07555555555555556,0.22666666666666666,0.29333333333333333,0.7272727272727273,0.7255961446185301,0.073823462327986,6.00004568696022e-07,3.0,,,,,,,,,,0.7363636363636363,0.19528619528619529
BGL,Random-k Selection,0.4,0.1,semantic,2,0.03358780004782602,0.4478373339710136,0.8666666666666667,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.7336647727272727,0.8114143920595533,0.8114143920595533,0.6502082609327693,0.12055949468003879,0.15664880009493581,0.13333333333333333,3.0,225.0,0.8533333333333334,64.0,0.26666666666666666,20.0,168.22666666666666,12617.0,14.72,1104.0,12.0,900.0,3.0,225.0,1.0,75.0,696.0933333333334,52207.0,55.586666666666666,4169.0,0.28444444444444444,0.08888888888888889,0.26666666666666666,0.28444444444444444,0.75,0.7583274273564847,0.08750099072679718,6.00004568696022e-07,3.0,,,,,,,,,,0.7363636363636363,0.19528619528619529
BGL,Random-k Selection,0.5,0.1,semantic,2,0.03367430000798777,0.44899066677317023,0.9066666666666666,0.75,0.6923076923076923,0.72,0.832,0.8883374689826302,0.8883374689826302,0.7662963343651252,0.11011622079135809,0.19812452476753625,0.09333333333333334,3.0,225.0,0.92,69.0,0.21333333333333335,16.0,174.92,13119.0,12.106666666666667,908.0,13.0,975.0,4.0,300.0,1.0,75.0,754.4533333333334,56584.0,55.96,4197.0,0.30666666666666664,0.07111111111111111,0.21333333333333335,0.23,0.7692307692307692,0.7681500070691362,0.06921259242320299,6.00004568696022e-07,3.0,,,,,,,,,,0.972,0.020740740740740726
