poison_strategy,method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
semantic,Embedding Similarity Selection,0.8784082505850851,0.0793961894588933,0.031765091443619414,0.900776844385768,0.04636412715573854,0.01854951413717584,0.962275530201052,0.027442347633977605,0.010979225677728667,0.9544397727830454,0.04114709205714338,0.01646226539009022,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.7184715140469465,0.03327059906391147,0.01331101188673945,0.4672222222222222,0.36963968180368456,0.1478866728202813,0.07222222222222219,0.0404642941150425,0.016189089319347195,7.367203444527049,1.5842377281564972,0.6338270973240793,1.0
obfuscated,Embedding Similarity Selection,0.878045832197064,0.07768660884323741,0.03108111674714277,0.8990619992647305,0.04671023761826287,0.01868798716172031,0.9610744966941835,0.02779577046000808,0.01112062425697576,0.952448262573672,0.04366411487580406,0.017469284247611443,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.7246100192717592,0.03283250885246155,0.013135739298443937,0.63,0.26765757921296557,0.10708533416052142,0.07388888888888885,0.04215988278667473,0.016867466072340468,7.657416666689742,2.310362496939235,0.9243375089327195,2.0
semantic,TeleMin-RAG,0.8413907824558094,0.0793734151442004,0.03175597982008035,0.8624429858806506,0.05329001989442934,0.02132044833027231,0.9027373997848382,0.03868240850798724,0.01547618660152237,0.9120903061714946,0.06252109297803454,0.025013646739690535,0.806446127946128,0.072107312037776,0.028848933131979056,0.801893829568398,0.07447464917935781,0.029796065246161393,0.305,0.3212370413183633,0.1285215834928533,0.10999999999999995,0.05619152892300861,0.0224812937089416,8.467523777896227,0.6104863973288466,0.2442454274997254,3.0
obfuscated,TeleMin-RAG,0.835476736921812,0.07750229047892446,0.031007374043153547,0.8589952258205753,0.05005675104225883,0.020026871378393814,0.9112968550144073,0.046648311229854855,0.01866321144636218,0.9127019217494953,0.06982848938554567,0.02793721418897657,0.8198052965552964,0.05734912710795939,0.02294442943939082,0.8129654716595263,0.06336094517111489,0.02534965759731657,0.2594444444444444,0.26969237559804426,0.10789942226325884,0.11111111111111109,0.05527853639661029,0.02211602062359537,8.187573555591776,0.7180408046562654,0.28727615236453263,4.0
obfuscated,Full Context,0.8297901782348589,0.09107724843458216,0.0364384883540993,0.8556443161769538,0.07842228232181304,0.03137544743831151,0.9704431441476508,0.010088224146073382,0.0040361302562217085,0.9494671110712439,0.038830508932697204,0.015535439111823089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11722222222222219,0.08541836041681143,0.03417446162210159,1.150120333412714,0.26399397362601934,0.10561958665707286,5.0
semantic,Full Context,0.8286612783990623,0.09181226711696336,0.0367325570722296,0.8548992222632105,0.07838207928252386,0.031359362872691476,0.9700969539456258,0.010192890289247322,0.004078005434761511,0.9492800777223849,0.03898258728186738,0.015596283123367074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11777777777777775,0.08520884639534657,0.03409063855583217,1.1655221111464522,0.24975170901555985,0.09992149408110987,6.0
obfuscated,Mutual Information Feature Selection,0.7643919326220975,0.17279563597341568,0.06913265252604768,0.8018799888258061,0.15133088884960247,0.060544965133882536,0.9423187390864811,0.032695782610497034,0.013081037408991244,0.9258575351474555,0.058659962569882484,0.023468872849072144,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.7238333166396131,0.03821204073701359,0.015288000299900866,0.0005555555555555541,0.0027216552697590796,0.001088888888888886,0.16999999999999996,0.15977036661505534,0.06392145945663337,1.5106988332829336,0.40420677521680537,0.16171639047664832,7.0
semantic,Mutual Information Feature Selection,0.7643919326220975,0.17279563597341568,0.06913265252604768,0.8018799888258061,0.15133088884960247,0.060544965133882536,0.9423187390864811,0.032695782610497034,0.013081037408991244,0.9258575351474555,0.058659962569882484,0.023468872849072144,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.722411851963843,0.03893050708449036,0.01557544670485181,0.0005555555555555541,0.0027216552697590796,0.001088888888888886,0.16999999999999996,0.15977036661505534,0.06392145945663337,1.3513872778275982,0.2714194299954939,0.1085903879284498,7.0
obfuscated,Random-k Selection,0.7585489891077059,0.12995475607431925,0.05199273086488937,0.8065263966205274,0.06445133694207937,0.02578590516222004,0.9226892677197706,0.03660944191629384,0.01464682723561979,0.8626165629544484,0.11499629351861018,0.04600809943388016,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.7245053516176947,0.034243952547962385,0.013700434384702665,0.28777777777777774,0.05909679823811761,0.02364364351554736,0.1444444444444444,0.06212552873377324,0.024855388081731995,0.6055082221994074,0.1361151660947158,0.05445740818708505,9.0
semantic,Random-k Selection,0.7556139284110225,0.13340643613778347,0.05337369050032408,0.8050279058074451,0.06619775172179763,0.026484616593515628,0.919926230423242,0.03878373488726797,0.015516725596220216,0.8597110731972745,0.11753730686865664,0.047024716502958426,0.7234071484071484,0.033890478965285464,0.013559015498567716,0.7244327849482967,0.034132640252960984,0.013655900191643573,0.28777777777777774,0.05909679823811761,0.02364364351554736,0.14555555555555552,0.0619074161983382,0.024768124893406306,0.5776153334429384,0.14474543557183386,0.05791023509215543,10.0
